id,x_coord,y_coord,demand,pick,start_time,end_time,service_time
0,45.00,68.00,10.00,60,912.00,967.00,90.00
1,45.00,70.00,30.00,69,825.00,870.00,90.00
2,42.00,66.00,10.00,27,65.00,146.00,90.00
3,42.00,68.00,10.00,83,727.00,782.00,90.00
4,42.00,65.00,10.00,4,15.00,67.00,90.00
5,40.00,69.00,20.00,31,621.00,702.00,90.00
6,40.00,66.00,20.00,73,170.00,225.00,90.00
7,38.00,68.00,20.00,81,255.00,324.00,90.00
8,38.00,70.00,10.00,47,534.00,605.00,90.00
9,35.00,66.00,10.00,52,357.00,410.00,90.00
10,35.00,69.00,10.00,9,448.00,505.00,90.00
11,25.00,85.00,20.00,62,652.00,721.00,90.00
12,22.00,75.00,30.00,46,30.00,92.00,90.00
13,22.00,85.00,10.00,60,567.00,620.00,90.00
14,20.00,80.00,40.00,49,384.00,429.00,90.00
15,20.00,85.00,40.00,59,475.00,528.00,90.00
16,18.00,75.00,20.00,68,99.00,148.00,90.00
17,15.00,75.00,20.00,41,179.00,254.00,90.00
18,15.00,80.00,10.00,41,278.00,345.00,90.00
19,30.00,50.00,10.00,77,10.00,73.00,90.00
20,30.00,52.00,20.00,10,914.00,965.00,90.00
21,28.00,52.00,20.00,77,812.00,883.00,90.00
22,28.00,55.00,10.00,59,732.00,777.00,90.00
23,25.00,50.00,10.00,34,65.00,144.00,90.00
24,25.00,52.00,40.00,34,169.00,224.00,90.00
25,25.00,55.00,10.00,50,622.00,701.00,90.00
26,23.00,52.00,10.00,95,261.00,316.00,90.00
27,23.00,55.00,20.00,37,546.00,593.00,90.00
28,20.00,50.00,10.00,47,358.00,405.00,90.00
29,20.00,55.00,10.00,12,449.00,504.00,90.00
